original_id,wiki_id,wiki_name,match_score
534,Q6235957,John Graham,0.5
537,Q348144,Hassan Rouhani,0.25
539,Q23333,Gough Whitlam,0.5
540,Q6111408,Jack Briggs,0.5
542,Q365323,Adolph Dubs,0.5
547,Q75853,Jorge Rafael Videla,0.5
545,Q272580,Juvénal Habyarimana,0.5
549,Q3544381,George Loring Brown,0.5
551,Q381007,René Lévesque,0.5
558,Q154545,Léopold Sédar Senghor,0.5
557,Q34105,Hosni Mubarak,0.5
554,Q15630776,Toussaint Léonard de La Villéon,0.5
563,Q165210,Kim Young-sam,0.5
566,Q313242,Moussa Traoré,0.5
564,Q210362,Joseph Nye,0.5
565,Q947002,Emilio Óscar Rabasa,0.5
562,Q134549,Ted Kennedy,0.5
561,Q3154605,Irving Brown,0.5
560,Q455401,Lloyd Bentsen,0.5
567,Q317648,Glafcos Clerides,0.5
571,Q16145787,Olga Talamante,0.5
576,Q224986,France-Albert René,0.5
578,Q388215,John Jackson Sparkman,0.5
577,Q709244,Jaime Roldós Aguilera,0.5
575,Q469882,Robert Green Ingersoll,0.33333333333333
574,Q8006459,William Caldwell Harrop,0.5
572,Q7145705,Patricia M. Derian,0.5
582,Q6079309,Melih Esenbel,0.5
580,Q5006458,C. Fred Bergsten,0.5
586,Q7364630,Ronald Adam,0.5
587,Q298718,Ahmadou Ahidjo,0.5
588,Q5949274,Hushang Ansary,0.5
589,Q1337643,Howard Baker,0.5
590,Q184945,Hastings Banda,0.5
591,Q194291,Sirimavo Bandaranaike,0.5
592,Q312185,Edward Gierek,0.33333333333333
594,Q2518,Helmut Kohl,0.5
595,Q193492,Daniel arap Moi,0.5
596,Q6135277,James H. Scheuer,0.5
601,Q7345084,Robert H. Miller,0.5
600,Q66107,Henry Kissinger,0.5
599,Q105480,Kenneth Kaunda,0.5
605,Q1230,Francesco Cossiga,0.5
607,Q841310,Garth Williams,0.125
608,Q469498,Souvanna Phouma,1.0
609,Q822380,Walter John Stoessel,0.5
610,Q4725721,Alice Artzt,0.5
612,Q157651,Gustáv Husák,0.5
613,Q475289,Ray Marshall,0.5
615,Q8619,Pierre Trudeau,0.5
618,Q53713,Olof Palme,0.5
617,Q5345600,Edward Thomas Wordon Myers,0.5
616,Q2978867,Clemens Kapuuo,0.5
620,Q2404423,George Gardner,0.5
621,Q455661,Luis Herrera Campins,0.5
622,Q206719,Mathieu Kérékou,0.5
619,Q63708,Ellsworth Bunker,0.5
625,Q48231,Idi Amin,0.5
626,Q214473,Steve Biko,0.5
627,Q1780222,Paul Findley,0.5
629,Q529391,Hussein Onn,0.5
630,Q1239989,Don Jamieson,0.5
640,Q5660566,Harold E. Saunders,0.5
638,Q665630,Aristides Royo,0.5
639,Q18060819,Omar al-Saqqaf,0.5
636,Q2578451,William Denman Eberle,0.5
633,Q162708,Jean-Bedel Bokassa,0.5
635,Q93957,Gary Cooper,0.25
643,Q21879460,John Armitage,0.5
644,Q488066,Stephen W. Bosworth,0.5
646,Q1394814,Jean François-Poncet,0.5
647,Q1278282,Eastman Johnson,0.33333333333333
648,Q457455,Charles Mathias,0.5
649,Q722282,"Marcelino Oreja, 1st Marquis of Oreja",0.5
650,Q315613,José López Portillo,0.33333333333333
652,Q339727,Peter Tarnoff,0.5
642,Q62493,Philip Agee,0.5
659,Q8619,Pierre Trudeau,0.5
656,Q16663248,Кеукы Лим,0.5
657,Q219918,Samora Machel,0.5
655,Q984174,Lee H. Hamilton,0.5
660,Q5602890,Gustaf Carlson,0.5
661,Q7327990,Richard N. Gardner,0.5
663,Q62237,Georg Leber,0.5
665,Q878933,Phoumi Vongvichit,1.0
667,Q222805,Benigno Aquino junior,0.5
668,Q6279,Joe Biden,0.5
669,Q1235,Giovanni Leone,0.5
670,Q574685,Daniel Oduber Vargas,0.33333333333333
673,Q23543,Selena Quintanilla-Pérez,0.33333333333333
672,Q54523984,,0.5
675,Q182642,John Glenn,0.5
676,Q469661,Junius Richard Jayewardene,0.5
677,Q1389746,Winston Lord,0.5
678,Q533683,George Macovescu,0.5
679,Q433180,William P. Rogers,0.5
680,Q7154239,Paul Warnke,0.5
685,Q192512,Mengistu Haile Mariam,0.5
688,Q315587,Sultan bin Abdulaziz,0.33333333333333
683,Q6962785,Nancy Kissinger,0.5
684,Q1463,Ferdinand Marcos,0.5
682,Q106235,Hans-Dietrich Genscher,0.5
681,Q548748,Suleiman Frangieh,0.5
694,Q14356,Park Chung-hee,0.5
697,Q7329128,Richard Sneider,0.5
696,Q7684690,Tapishwar Narain Raina,0.5
695,Q1241512,Frigyes Puja,0.5
690,Q592933,Possum Bourne,0.5
693,Q379232,Ieng Sary,1.0
692,Q11964823,David Driscoll,0.5
698,Q1703107,Jonathan Brewster Bingham,0.5
699,Q386798,Clark Clifford,0.5
700,Q1064898,Charles Horman,0.5
703,Q313411,George P. Shultz,0.5
709,Q310775,Jean-Claude Duvalier,0.5
712,Q612167,Anu Malik,0.33333333333333
706,Q9576,James Callaghan,0.5
704,Q8009507,William G. Bowdler,0.5
705,Q4999775,Burnie Burns,0.5
707,Q365971,Camille Chamoun,0.5
716,Q597106,David S. Hall,0.5
718,Q685269,Emiel van Lennep,0.5
717,Q920953,Lynden Pindling,0.5
715,Q6099588,Ramón Escovar Salom,0.5
714,Q5875974,Hodding Carter III,0.5
713,Q61702208,,0.5
720,Q30084414,Richard C. K. Burdekin,0.5
721,Q4888163,Benjamin A. Gilman,0.5
722,Q531198,Indalecio Liévano,0.5
723,Q28793938,Edward E. Masters,0.5
725,Q828627,Bertrand Traoré,0.5
726,Q215079,Berndt von Staden,0.5
730,Q4797759,Arthur A. Hartman,0.5
732,Q337295,Odvar Nordli,0.5
731,Q453868,John Negroponte,0.5
729,Q213122,Betty Ford,0.5
728,Q7612135,Steve Campbell,0.5
727,Q311103,Jeff Bennett,0.33333333333333
733,Q276524,Robert Byrd,0.5
734,Q434786,Arnaldo Forlani,0.5
735,Q12960,Michel Jobert,0.5
737,Q21503722,John M. Slack,0.5
738,Q297644,Kakuei Tanaka,0.5
740,Q343514,İhsan Sabri Çağlayangil,0.5
739,Q881173,Henry Bellmon,0.5
741,Q4570035,Arthur W. Hummel,0.5
742,Q553882,Joseph Luns,0.5
743,Q2580484,William S. Mailliard,0.5
745,Q68748,Dietrich Stobbe,0.5
751,Q1397402,Karl Patterson Schmidt,0.33333333333333
749,Q16104987,Spencer Oliver,0.5
750,Q42013,Anwar as-Sadat,0.5
746,Q965595,Džemal Bijedić,0.5
748,Q38257,Enya,0.2
753,Q6084719,Ismail Fahmi,0.5
754,Q507606,Andrew Smith,0.25
756,Q1260,Kurt Waldheim,0.33333333333333
761,Q1807991,Laurence Silberman,0.5
762,Q3482241,Friðrik Klemenz Sophusson,0.5
759,Q401360,Ahmed Laraki,0.5
758,Q381661,Liam Cosgrave,0.5
757,Q472593,Ignatius Kutu Acheampong,0.5
768,Q312716,Dawda Jawara,0.5
771,Q720351,David M. Walker,0.5
769,Q4714628,Alejandro Orfila,0.5
767,Q6135606,James Harrell,0.5
765,Q15454483,Manuel Antonio de Varona,0.5
764,Q65561,Hans Apel,0.5
772,Q2938914,Carl Frederik von Breda,0.5
773,Q25252439,Huang Chen,1.0
774,Q49792211,Mohammad Naim,0.5
776,Q2072385,Khalifa bin Hamad al-Thani,0.5
777,Q7154239,Paul Warnke,0.5
787,Q2659172,Georgi Vins,0.5
783,Q39464,Pol Pot,1.0
785,Q521462,Joseph J. Sisco,0.5
784,Q4965240,Brian Schwager,0.5
779,Q354695,Yakubu Gowon,0.5
782,Q315522,Ne Win,1.0
780,Q276961,Moulay Hassan,0.5
781,Q561547,Augustus F. Hawkins,0.5
792,Q366834,Phil Hartman,0.16666666666667
794,Q19896106,William Matthews,0.5
793,Q1370956,U. Alexis Johnson,0.5
795,Q34474,Aleksandr Solzhenitsyn,0.5
791,Q3236702,Leslie H. Gelb,0.5
789,Q192634,Bülent Ecevit,0.5
788,Q6130973,James Campbell of Inverneill,0.25
797,Q2038,François Mitterrand,0.5
799,Q6525703,Leonard S. Unger,0.5
811,Q152850,Raoul Wallenberg,0.5
810,Q42013,Anwar as-Sadat,0.5
802,Q2580722,William Tapley Bennett Jr.,0.5
806,Q2468387,Mohamed Abdel Ghani el-Gamasy,0.5
