id,name,frequency
580,"BERGSTEN, C FRED",141
586,"ADAMS, RONALD",140
587,"AHIDJO, AHMADOU",140
588,"ANSARY, HUSHANG",140
589,"BAKER, HOWARD H JR",140
590,"BANDA, KAMUZU",140
591,"BANDARANAIKE, SIRIMAVO",140
592,GIEREK,140
593,"HUNTER, CARRIE JANE",140
594,"KOHL, HELMUT",140
595,"MOI, DANIEL T ARAP",140
596,"SCHEUER, JAMES H",140
601,"MILLER, ROBERT H",139
603,"ROSE, HARRY LOUIS",139
602,"MINER, SARA BRAND",139
600,KISSINGER HENRY A,139
597,"CAVNESS, NOLEN J",139
598,"DOBRYNIN, ANATOLIY F",139
599,"KAUNDA, KENNETH D",139
604,"BRAZINSKAS, ALGIRDAS",138
605,"COSSIGA, FRANCESCO",138
606,"LYON, VERNE ALLEN",138
607,"MONTGOMERY, G V",138
608,SOUVANNA PHOUMA,138
609,"STOESSEL, WALTER J",138
610,"ARTZT, ALICE",137
611,"BOSTWICK, BURTON L",137
612,"HUSAK, GUSTAV",137
613,"MARSHALL, RAY",137
614,"ROSENTHAL, BENJAMIN S",137
615,"TRUDEAU, PIERRE ELLIOTT",137
618,"PALME, OLOF",136
617,"MYERS, EDWARD",136
616,"KAPUUO, CLEMENS",136
620,GARDNER,135
621,"HERRERA CAMPINS, LUIS",135
622,"KEREKOU, MATHIEU",135
623,"SASSO, BRUCE",135
624,"WILLEY, JAMES STANBY",135
619,"BUNKER, ELLSWORTH",135
625,"AMIN, IDI",134
626,"BIKO, STEVE",134
627,"FINDLEY, PAUL",134
628,HO KIM HAI,134
629,HUSSEIN BIN ONN,134
630,"JAMIESON, DONALD",134
631,KOUNMY RATTANABANDITH,134
632,"MAYS, MARSHALL T",134
640,"SAUNDERS, HAROLD",133
638,"ROYO, ARISTIDES",133
641,VO QUI HY,133
639,"SAQQAF, OMAR",133
636,"EBERLE, WILLIAM D",133
637,"KROYER, HARALDUR",133
634,CODEL IPU,133
633,BOKASSA I,133
635,COOPER,133
643,"ARMITAGE, JOHN A",132
644,"BOSWORTH, STEPHEN W",132
645,"FLEISCHMAN, LESLIE HAROLD",132
646,"FRANCOIS-PONCET, JEAN",132
647,JOHNSON,132
648,"MATHIAS, CHARLES",132
649,"OREJA AGUIRRE, MARCELINO",132
650,"PORTILLO, LOPEZ",132
651,"RAINDORF, AARON",132
652,"TARNOFF, PETER",132
642,"AGEE, PHILIP",132
653,"KOWALSKI, DALE LOUIS",131
654,"WOLFF, ALAN",131
658,"ROLANDIS, NIKOS",130
659,"TRUDEAU, PIERRE",130
656,KEUKY LIM,130
657,"MACHEL, SAMORA MOISES",130
655,"HAMILTON, LEE",130
660,"CARLSON, GUSTAF E",129
661,"GARDNER, RICHARD N",129
662,KIM HUOTH,129
663,"LEBER, GEORG",129
664,"NURU, FATUMA TATU",129
665,PHOUMI VONGVICHIT,129
666,"RUNYAN, BERT OTIS",129
667,"AQUINO, BENIGNO",128
668,"BIDEN, JOSEPH R JR",128
669,"LEONE, GIOVANNI",127
670,"ODUBER, DANIEL",127
674,"TETLEY-KARDOS, RICHARD",126
673,PEREZ,126
671,"FRONCZAK, SANDRA",126
672,"NIEHOUS, WILLIAM",126
675,"GLENN, JOHN",125
676,"JAYEWARDENE, J R",125
677,"LORD, WINSTON",125
678,"MACOVESCU, GEORGE",125
679,"ROGERS, WILLIAM",125
680,"WARNKE, PAUL C",125
685,MENGISTU HAILE-MARIAM,124
688,"SULTAN, PRINCE",124
687,"REPPAS, GEORGE",124
686,"NASCIMENTO, EDITH MARIA RODRIGUES",124
683,"KISSINGER, NANCY",124
684,"MARCOS, FERDINAND E",124
682,"GENSCHER, HANS DIETRICH",124
681,"FRANGIE, SULEIMAN",124
694,PAK CHONG-HUI,123
697,"SNEIDER, RICHARD L",123
696,"RAINA, TAPISHWAR NARAIN",123
695,"PUJA, FRIGYES",123
690,"BOURNE, PETER",123
693,IENG SARY,123
692,"DRISCOLL, DAVID",123
691,"CHAVAN, Y B",123
689,"ABDULLAH, WAHEED",123
698,"BINGHAM, JONATHAN B",122
699,"CLIFFORD, CLARK",122
700,"HORMAN, CHARLES",122
701,"KAZANSKIY, ARKADIY NIKOLAYEVICH",122
702,"NARAINE, PATRICIA",122
703,"SHULTZ, GEORGE",122
711,"FLEENER, TERRE",121
709,"DUVALIER, JEAN-CLAUDE",121
712,MALIK,121
710,"EL KHAIRY, EVELYN BIRGITTE",121
706,CALLAGHAN,121
708,"CHIN, ALEXANDRE JOHN",121
704,"BOWDLER, WILLIAM G",121
705,"BURNS, MICHAEL A",121
707,"CHAMOUN, CAMILLE",121
716,"HALL, DAVID",120
718,"VAN LENNEP, EMILE",120
717,"PINDLING, LYNDEN O",120
719,"YOUNG, MAZELL",120
715,"ESCOVAR SALOM, RAMON",120
714,"CARTER, HODDING III",120
713,"BLUM, BARBARA",120
720,"BANK, RICHARD K",119
721,"GILMAN, BENJAMIN A",119
